,Año,Ciudad,Valor
216,2010,León,133378
217,2010,Lleida,137902
218,2010,Logroño,152646
219,2010,MADRID,3269044
220,2010,Málaga,568269
221,2010,Marbella,137492
222,2010,Mataró,123387
223,2010,Móstoles,205515
224,2010,Murcia,441774
225,2010,Ourense,108338
226,2010,Oviedo,225273
227,2010,Palma de Mallorca,405000
228,2010,Palmas de Gran Canaria,383326
229,2010,Pamplona,197710
230,2010,Parla,121089
231,2010,Reus,106666
232,2010,Sabadell,207530
233,2010,Salamanca,153967
234,2010,San Cristóbal de La Laguna,152705
235,2010,Santa Coloma de Gramanet,120442
236,2010,Santa Cruz de Tenerife,222457
237,2010,Santander,180755
238,2010,Sevilla,703610
239,2010,Tarragona,137135
240,2010,Telde,101138
241,2010,Terrassa,213211
242,2010,Torrejón de Ardoz,120515
243,2010,Torrevieja,101614
244,2010,Valencia,803650
245,2010,Valladolid,314480
246,2010,Vigo,297183
247,2010,Vitoria-Gasteiz,238905
248,2010,Zaragoza,674923
249,2009,Albacete,170096
250,2009,Alcalá de Henares,204347
251,2009,Alcobendas,109592
252,2009,Alcorcón,168133
253,2009,Algeciras,116313
254,2009,Alicante,334588
255,2009,Almería,189412
256,2009,Badajoz,149355
257,2009,Badalona,219217
258,2009,Barcelona,1620437
259,2009,Bilbao,354024
260,2009,Burgos,178770
261,2009,Cádiz,126296
262,2009,Cartagena,213081
263,2009,Castellón de la Plana,180348
264,2009,Córdoba,328488
265,2009,A Coruña,246052
266,2009,Donostia - San Sebastián,185432
267,2009,Dos Hermanas,124015
268,2009,Elche,230467
269,2009,Fuenlabrada,198405
270,2009,Getafe,168147
271,2009,Gijón,277376
272,2009,Granada,236740
273,2009,Hospitalet de Llobregat,257840
274,2009,Huelva,149058
275,2009,Jaén,116674
276,2009,Jérez de la Frontera,208214
277,2009,Las Palmas de Gran Canaria,382578
278,2009,Leganés,186647
279,2009,León,134159
280,2009,Lleida,136653
281,2009,Logroño,152379
282,2009,MADRID,3264497
283,2009,Málaga,568406
284,2009,Marbella,135473
285,2009,Mataró,122314
286,2009,Móstoles,206247
287,2009,Murcia,439108
288,2009,Ourense,108208
289,2009,Oviedo,224580
290,2009,Palma de Mallorca,402976
291,2009,Pamplona,197990
292,2009,Parla,117897
293,2009,Reus,106870
294,2009,Sabadell,206916
295,2009,Salamanca,155041
296,2009,San Cristóbal de La Laguna,151442
297,2009,Santa Coloma de Gramanet,119889
298,2009,Santa Cruz de Tenerife,222530
299,2009,Santander,182145
300,2009,Sevilla,703702
301,2009,Tarragona,140254
302,2009,Telde,100458
303,2009,Terrassa,211833
304,2009,Torrejón de Ardoz,118302
305,2009,Torrevieja,101442
306,2009,Valencia,811738
307,2009,Valladolid,316693
308,2009,Vigo,297228
309,2009,Vitoria-Gasteiz,236954
310,2009,Zaragoza,674719
311,2008,Albacete,166909
312,2008,Alcalá de Henares,203645
313,2008,Alcobendas,107514
314,2008,Alcorcón,167997
315,2008,Algeciras,115333
316,2008,Alicante,331750
317,2008,Almería,187521
318,2008,Badajoz,146832
319,2008,Badalona,215329
320,2008,Barcelona,1615908
321,2008,Bilbao,353340
322,2008,Burgos,177879
323,2008,Cádiz,127200
324,2008,Cartagena,210376
325,2008,Castellón de la Plana,177924
326,2008,Córdoba,325453
327,2008,A Coruña,245164
328,2008,Donostia - San Sebastián,184248
329,2008,Dos Hermanas,120323
330,2008,Elche,228348
331,2008,Fuenlabrada,194791
332,2008,Getafe,164043
333,2008,Gijón,275699
334,2008,Granada,236988
335,2008,Hospitalet de Llobregat,253782
336,2008,Huelva,148027
337,2008,Jaén,116417
338,2008,Jérez de la Frontera,205364
339,2008,Leganés,184209
340,2008,León,135119
341,2008,Lleida,131731
342,2008,Logroño,150071
343,2008,MADRID,3213271
344,2008,Málaga,566447
345,2008,Marbella,130549
346,2008,Mataró,119780
347,2008,Móstoles,206275
348,2008,Murcia,430571
349,2008,Ourense,107057
350,2008,Oviedo,220644
351,2008,Palma de Mallorca,396570
352,2008,Palmas de Gran Canaria,381123
353,2008,Pamplona,197275
354,2008,Parla,108051
355,2008,Reus,107770
356,2008,Sabadell,203969
357,2008,Salamanca,155740
358,2008,San Cristóbal de La Laguna,148375
359,2008,Santa Coloma de Gramanet,117336
360,2008,Santa Cruz de Tenerife,221956
361,2008,Santander,182302
362,2008,Sevilla,699759
363,2008,Tarragona,137536
364,2008,Terrassa,206245
365,2008,Torrejón de Ardoz,116455
366,2008,Torrevieja,101381
367,2008,Valencia,807200
368,2008,Valladolid,318461
369,2008,Vigo,295703
370,2008,Vitoria-Gasteiz,232477
371,2008,Zaragoza,666129
372,2006,Albacete,161508
373,2006,Alcalá de Henares,201380
374,2006,Alcobendas,104118
375,2006,Alcorcón,164633
376,2006,Algeciras,112937
377,2006,Alicante,322431
378,2006,Almería,185309
379,2006,Badajoz,143748
380,2006,Badalona,221520
381,2006,Barcelona,1605602
382,2006,Bilbao,354145
383,2006,Burgos,173676
384,2006,Cádiz,130561
385,2006,Cartagena,208609
386,2006,Castellón de la Plana,172110
387,2006,Córdoba,322867
388,2006,A Coruña,243320
389,2006,Donostia - San Sebastián,183308
390,2006,Dos Hermanas,114672
391,2006,Elche,219032
392,2006,Fuenlabrada,193715
393,2006,Getafe,156320
394,2006,Gijón,274472
395,2006,Granada,237929
396,2006,Hospitalet de Llobregat,248150
397,2006,Huelva,145763
398,2006,Jaén,116769
399,2006,Jérez de la Frontera,199544
400,2006,La Coruña,243320
401,2006,Las Palmas de Gran Canaria,377056
402,2006,Leganés,182471
403,2006,León,136985
404,2006,Lleida,125677
405,2006,Logroño,147036
406,2006,MADRID,3128600
407,2006,Málaga,560631
408,2006,Marbella,125519
409,2006,Mataró,118748
410,2006,Móstoles,206301
411,2006,Murcia,416996
412,2006,Ourense,108137
413,2006,Oviedo,214883
414,2006,Palma de Mallorca,375048
415,2006,Palmas de Gran Canaria,377056
416,2006,Pamplona,195769
417,2006,Reus,101767
418,2006,Sabadell,200545
419,2006,Salamanca,159754
420,2006,San Cristóbal de La Laguna,142161
421,2006,Santa Coloma de Gramanet,119056
422,2006,Santa Cruz de Tenerife,223148
423,2006,Santander,182926
424,2006,Sevilla,704414
