Comunidades y Ciudades AutÛnomas;TamaÒo de los municipios;Periodo;Total
06 Cantabria;Total;2001;537.606
06 Cantabria;Total;2000;531.159
06 Cantabria;Total;1999;528.478
06 Cantabria;Total;1998;527.137
07 Castilla y LeÛn;Total;2021;2.383.139
07 Castilla y LeÛn;Total;2020;2.394.918
07 Castilla y LeÛn;Total;2019;2.399.548
07 Castilla y LeÛn;Total;2018;2.409.164
07 Castilla y LeÛn;Total;2017;2.425.801
07 Castilla y LeÛn;Total;2016;2.447.519
07 Castilla y LeÛn;Total;2015;2.472.052
07 Castilla y LeÛn;Total;2014;2.494.790
07 Castilla y LeÛn;Total;2013;2.519.875
07 Castilla y LeÛn;Total;2012;2.546.078
07 Castilla y LeÛn;Total;2011;2.558.463
07 Castilla y LeÛn;Total;2010;2.559.515
07 Castilla y LeÛn;Total;2009;2.563.521
07 Castilla y LeÛn;Total;2008;2.557.330
07 Castilla y LeÛn;Total;2007;2.528.417
07 Castilla y LeÛn;Total;2006;2.523.020
07 Castilla y LeÛn;Total;2005;2.510.849
07 Castilla y LeÛn;Total;2004;2.493.918
07 Castilla y LeÛn;Total;2003;2.487.646
07 Castilla y LeÛn;Total;2002;2.480.369
07 Castilla y LeÛn;Total;2001;2.479.425
07 Castilla y LeÛn;Total;2000;2.479.118
07 Castilla y LeÛn;Total;1999;2.488.062
07 Castilla y LeÛn;Total;1998;2.484.603
08 Castilla  La Mancha;Total;2021;2.049.562
08 Castilla  La Mancha;Total;2020;2.045.221
8 Castilla  La Mancha;Total;2019;2.032.863
8 Castilla  La Mancha;Total;2018;2.026.807
8 Castilla  La Mancha;Total;2017;2.031.479
8 Castilla  La Mancha;Total;2016;2.041.631
8 Castilla  La Mancha;Total;2015;2.059.191
8 Castilla  La Mancha;Total;2014;2.078.611
8 Castilla  La Mancha;Total;2013;2.100.998
8 Castilla  La Mancha;Total;2012;2.121.888
8 Castilla  La Mancha;Total;2011;2.115.334
8 Castilla  La Mancha;Total;2010;2.098.373
8 Castilla  La Mancha;Total;2009;2.081.313
8 Castilla  La Mancha;Total;2008;2.043.100
8 Castilla  La Mancha;Total;2007;1.977.304
8 Castilla  La Mancha;Total;2006;1.932.261
8 Castilla  La Mancha;Total;2005;1.894.667
8 Castilla  La Mancha;Total;2004;1.848.881
8 Castilla  La Mancha;Total;2003;1.815.781
8 Castilla  La Mancha;Total;2002;1.782.038
8 Castilla  La Mancha;Total;2001;1.755.053
8 Castilla  La Mancha;Total;2000;1.734.261
8 Castilla  La Mancha;Total;1999;1.726.199
8 Castilla  La Mancha;Total;1998;1.716.152
09 CataluÒa;Total;2021;7.763.362
09 CataluÒa;Total;2020;7.780.479
09 CataluÒa;Total;2019;7.675.217
09 CataluÒa;Total;2018;7.600.065
09 CataluÒa;Total;2017;7.555.830
09 CataluÒa;Total;2016;7.522.596
09 CataluÒa;Total;2015;7.508.106
09 CataluÒa;Total;2014;7.518.903
09 CataluÒa;Total;2013;7.553.650
09 CataluÒa;Total;2012;7.570.908
